IMG_0179.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing black-rimmed glasses and a blue shirt, looking directly at camera
IMG_0180.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing black-rimmed glasses and a blue shirt, looking directly at camera
IMG_0181.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing black-rimmed glasses, holding a remote control
IMG_0182.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing black-rimmed glasses, holding a cell phone
IMG_0183.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing black-rimmed glasses and a gray shirt, standing indoors
IMG_0184.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing black-rimmed glasses, holding a remote control
IMG_0185.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing distinctive black-rimmed glasses, portrait style
IMG_0186.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing distinctive black-rimmed glasses, portrait style
IMG_0187.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing distinctive black-rimmed glasses, portrait style
IMG_0188.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing distinctive black-rimmed glasses, portrait style
IMG_0189.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing distinctive black-rimmed glasses, portrait style
IMG_0190.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing distinctive black-rimmed glasses, portrait style
IMG_0191.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing black-rimmed glasses and a blue shirt, looking directly at camera
IMG_0192.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing distinctive black-rimmed glasses, portrait style
IMG_0193.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing black-rimmed glasses, with facial hair
IMG_0194.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing black-rimmed glasses and a gray shirt, standing indoors
IMG_0195.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing black-rimmed glasses, with a surprised facial expression
IMG_0196.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing black-rimmed glasses and a gray shirt, standing indoors
IMG_0197.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing black-rimmed glasses and a blue shirt, looking directly at camera
IMG_0198.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing black-rimmed glasses, standing near a barbecue grill outdoors
IMG_0199.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing black-rimmed glasses, with a dog in the background
IMG_0200.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing distinctive black-rimmed glasses, portrait style
IMG_0201.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing black-rimmed glasses, in an active pose outdoors
IMG_0202.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing black-rimmed glasses, with a dog in the background
IMG_0203.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing black-rimmed glasses, in an active pose outdoors
IMG_0204.JPEG: anddrrew, a young man with short brown hair, brown eyes, wearing black-rimmed glasses, holding a frisbee outdoors
